ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	short3_cov	short3_Ocov	short4_cov	short4_Ocov	long_nb	short1_nb	short2_nb	short3_nb	short4_nb
1	3099	1	1	0.000000	443.400774	443.400774	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
2	2733	2	1	0.000000	494.424442	494.424442	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
3	1800	1	1	0.000000	504.811667	504.811667	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
4	3412	1	1	0.000000	430.740328	430.740328	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
5	10476	1	1	0.000000	448.942822	448.780355	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
6	2777	1	1	0.000000	445.687432	445.687432	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
7	2226	1	1	0.000000	420.748877	420.748877	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
8	1	2	2	0.000000	665.000000	665.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
9	1044	1	1	0.000000	501.301724	501.301724	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
10	429	1	1	0.000000	384.659674	384.659674	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
11	4321	1	1	0.000000	428.541310	428.541310	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
12	455	1	0	0.000000	301.663736	301.663736	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
13	3899	1	1	0.000000	410.689408	410.642216	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
14	1085	1	1	0.000000	405.545622	405.545622	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
15	2095	1	1	0.000000	468.796659	468.796659	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
16	2835	1	1	0.000000	431.077954	431.077954	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
17	263	1	2	0.000000	691.942966	684.920152	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
18	629	1	1	0.000000	434.302067	434.302067	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
19	3	2	2	0.000000	959.666667	959.666667	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
20	12	1	1	0.000000	468.583333	468.583333	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
21	7	2	2	0.000000	916.000000	916.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
22	8	1	1	0.000000	462.875000	462.875000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
23	1348	1	1	0.000000	512.810089	512.810089	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
24	3762	1	1	0.000000	478.769537	478.769537	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
25	15	1	1	0.000000	539.000000	539.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
26	1675	1	2	0.000000	897.291343	891.011940	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
27	2561	1	0	0.000000	444.689574	444.689574	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
28	6448	1	1	0.000000	476.299783	476.299783	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
29	2845	1	1	0.000000	471.592619	471.592619	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
30	378	1	1	0.000000	425.256614	425.256614	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
31	1712	1	1	0.000000	479.971379	479.971379	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
32	1413	1	1	0.000000	480.914367	480.914367	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
33	1463	1	1	0.000000	413.792208	413.792208	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
