ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	short3_cov	short3_Ocov	short4_cov	short4_Ocov	long_nb	short1_nb	short2_nb	short3_nb	short4_nb
1	304	0	0	0.000000	2.404605	2.404605	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
2	292	0	0	0.000000	2.082192	2.082192	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
3	302	0	0	0.000000	2.456954	2.456954	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
4	47	0	0	0.000000	1.340426	1.340426	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
5	317	0	0	0.000000	3.574132	3.574132	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
6	269	0	0	0.000000	1.684015	1.684015	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
7	528	0	0	0.000000	3.179924	3.179924	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
8	665	0	0	0.000000	4.517293	4.517293	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
9	349	1	0	0.000000	2.484241	2.484241	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
10	984	0	0	0.000000	2.207317	2.207317	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
11	93	0	0	0.000000	2.559140	2.559140	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
12	266	0	0	0.000000	2.646617	2.646617	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
13	701	0	0	0.000000	3.174037	3.174037	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
14	81	0	0	0.000000	1.530864	1.530864	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
15	513	0	0	0.000000	2.752437	2.752437	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
16	270	0	0	0.000000	2.770370	2.770370	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
17	88	0	0	0.000000	1.647727	1.647727	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
18	182	0	0	0.000000	1.263736	1.263736	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
19	1307	1	1	0.000000	3.762816	3.762816	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
20	245	0	0	0.000000	2.322449	2.322449	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
21	276	0	0	0.000000	2.398551	2.398551	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
22	122	0	0	0.000000	2.672131	2.672131	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
23	97	0	0	0.000000	2.391753	2.391753	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
24	600	0	0	0.000000	2.350000	2.350000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
25	151	0	0	0.000000	2.086093	2.086093	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
26	1044	0	0	0.000000	2.892720	2.892720	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
27	508	0	0	0.000000	2.061024	2.061024	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
28	210	0	0	0.000000	2.047619	2.047619	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
29	519	0	0	0.000000	2.591522	2.591522	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
30	633	1	0	0.000000	2.565561	2.565561	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
31	517	0	0	0.000000	2.141199	2.141199	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
32	381	0	0	0.000000	3.091864	3.091864	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
33	87	0	0	0.000000	2.218391	2.218391	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
34	284	0	0	0.000000	1.098592	1.098592	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
35	439	0	0	0.000000	3.207289	3.207289	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
36	52	1	0	0.000000	1.480769	1.480769	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
37	75	0	1	0.000000	1.706667	1.706667	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
38	293	0	0	0.000000	1.716724	1.716724	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
39	281	0	0	0.000000	1.188612	1.188612	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
40	234	0	0	0.000000	1.799145	1.799145	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
41	322	0	0	0.000000	1.667702	1.667702	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
42	507	0	0	0.000000	2.897436	2.897436	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
43	340	0	0	0.000000	2.167647	2.167647	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
44	393	0	0	0.000000	1.659033	1.659033	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
45	239	0	0	0.000000	1.782427	1.782427	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
46	325	0	0	0.000000	2.409231	2.409231	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
47	422	0	0	0.000000	2.132701	2.132701	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
48	462	0	0	0.000000	1.900433	1.900433	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
49	365	0	0	0.000000	1.386301	1.386301	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
50	279	0	0	0.000000	2.157706	2.157706	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
51	210	0	0	0.000000	1.990476	1.990476	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
52	290	0	0	0.000000	1.803448	1.803448	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
53	357	0	0	0.000000	2.067227	2.067227	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
54	356	0	0	0.000000	1.707865	1.707865	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
55	248	0	0	0.000000	1.342742	1.342742	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
56	162	0	2	0.000000	1.790123	1.790123	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
57	129	0	0	0.000000	1.666667	1.666667	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
58	115	0	0	0.000000	1.408696	1.408696	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
59	206	0	0	0.000000	1.868932	1.868932	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
60	234	0	0	0.000000	2.175214	2.175214	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
61	273	0	0	0.000000	1.095238	1.095238	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
62	247	0	0	0.000000	2.384615	2.384615	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
63	435	0	0	0.000000	2.075862	2.075862	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
64	255	0	0	0.000000	1.607843	1.607843	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0
